norm_title,critics_consensus,tomatometer_rating
the hustler,"Paul Newman and Jackie Gleason give iconic performances in this dark, morally complex tale of redemption.",98.0
bella beauty,"Critics labeled Bella as a simplistic and mostly pedestrian, but positive word of mouth gave this tiny indie surprising theatrical legs.",44.0
the company men,"It might be hard for most viewers to identify with The Company Men's well-heeled protagonists, but writer/director John Wells uses their plight to make universally resonant points -- and gets the most out of his excellent cast.",67.0
american assassin,"American Assassin hits a few easy targets, but without enough style or wit to truly bring its characters to life -- or stand out in a crowded field of more compelling spy thrillers.",34.0
a tale of love and darkness,A Tale of Love and Darkness suggests greater things for debuting writer-director Natalie Portman -- even if its reach slightly exceeds her creative grasp.,71.0
the boondock saints,"A juvenile, ugly movie that represents the worst tendencies of directors channeling Tarantino.",28.0
rentapal,"Rent-A-Pal suffers from untapped thematic potential, but Wil Wheaton's unsettling performance makes this unique horror story worth watching.",67.0
rushmore,"This cult favorite is a quirky coming of age story, with fine, off-kilter performances from Jason Schwartzman and Bill Murray.",89.0
a cat in paris,"A Cat in Paris depicts a stylish, imaginative world with a wonderful soundtrack and Hitchcockian overtones.",83.0
the purple rose of cairo,"Lighthearted and sweet, The Purple Rose of Cairo stands as one of Woody Allen's more inventive -- and enchantingly whimsical -- pictures.",92.0
fresh,"Well cast and sharply directed, Fresh serves as an attention-getting calling card for writer-director Boaz Yakin as well as a gripping urban drama.",88.0
beauty shop,"Despite a strong performance by Queen Latifah, Beauty Shop is in need of some style pointers.",38.0
dont be afraid of the dark,"While it's pleasantly atmospheric and initially quite scary, Don't Be Afraid of the Dark ultimately fails to deliver the skin-crawling chills of the original.",60.0
explicit ills,"Though its politics can be heavy-handed at times, Mark Webber's directorial debut is sincere and well-acted.",52.0
wildlife,Wildlife's portrait of a family in crisis is beautifully composed by director Paul Dano -- and brought brilliantly to life by a career-best performance from Carey Mulligan.,93.0
the last king of scotland,"Forest Whitaker's performance as real-life megalomaniac dictator Idi Amin powers this fictionalized political thriller, a blunt and brutal tale about power and corruption.",87.0
they came together,"They Came Together is surprisingly messy and perhaps too smart for its own good, but Amy Poehler and Paul Rudd's chemistry is enough to overcome many of the movie's flaws.",68.0
say anything,"One of the definitive Generation X movies, Say Anything is equally funny and heartfelt -- and it established John Cusack as an icon for left-of-center types everywhere.",98.0
the end of the line,A thought-provoking and insightful documentary about the dangers of commercial fishing.,78.0
winter in wartime,"A gripping, handsomely shot World War II melodrama with thriller elements successfully mixed in.",75.0
man on wire,James Marsh's doc about artist Phililppe Petit's artful caper brings you every ounce of suspense that can be wrung from a man on a (suspended) wire.,100.0
the crow city of angels,The Crow: City of Angels is a sloppy pretender that captures neither the mood nor energy of the original.,12.0
the hunt jagten,"Anchored by Mads Mikkelsen's sympathetic performance, The Hunt asks difficult questions with the courage to pursue answers head on.",93.0
the wiz,"This workmanlike movie musical lacks the electricity of the stage version (and its cinematic inspiration), but it's bolstered by strong performances by Diana Ross and Michael Jackson.",42.0
a royal affair,A Royal Affair is a lavish and sumptuous costume drama with a juicy story to back it up.,90.0
whats love got to do with it,"With a fascinating real-life story and powerhouse performances from Angela Bassett and Laurence Fishburne, What's Love Got to Do With It? is a can't miss biopic.",96.0
30 minutes or less,"It's sporadically funny and it benefits from a talented cast, but 30 Minutes or Less suffers from a disjointed narrative, and too often mistakes crude gags for true lowbrow humor.",45.0
and justice for all,"A volcanic Al Pacino holds court in this histrionic legal drama, the star grounding a tonally imbalanced script with the conviction of his impassioned performance.",83.0
national treasure book of secrets,"A talented cast goes to waste in the improbable National Treasure: Book of Secrets, which is eerily similar to the first film.",36.0
the black panthers vanguard of the revolution,"The Black Panthers: Vanguard Of The Revolution offers a fascinating -- if somewhat rudimentary -- introduction to a movement, and an era, that remains soberingly relevant today.",92.0
last action hero,"Last Action Hero has most of the right ingredients for a big-budget action spoof, but its scattershot tone and uneven structure only add up to a confused, chaotic mess.",38.0
zootopia,"The brilliantly well-rounded Zootopia offers a thoughtful, inclusive message that's as rich and timely as its sumptuously state-of-the-art animation -- all while remaining fast and funny enough to keep younger viewers entertained.",98.0
eating out,"The cast recites lines of forced wit that aren't funny, and the clunky plot has too many contrivances.",16.0
leatherheads,"Despite a good premise and strong cast, this pro football romcom is half screwball and half fumble.",51.0
diane,"A small-scale drama rich with meaning, Diane offers audiences an uncommonly empathetic and wise look at life -- and stellar work from Mary Kay Place in the title role.",93.0
light sleeper,"Light Sleeper requires patience, but delivers commensurate rewards -- and boasts an absorbing performance from Willem Dafoe.",87.0
everything is illuminated,"Although it excises much from its famously dense source material, Everything is Illuminated is a quirky, ambitious debut film from Liev Schreiber.",67.0
the wizard of lies,"The Wizard of Lies doesn't really shed much new light on its fact-based story, but thanks to solid direction and a talented cast, it still proves consistently watchable.",75.0
allied,"Allied has its moments, but doesn't quite achieve epic wartime romance status -- a disappointment made more profound by the dazzling talent assembled on either side of the camera.",60.0
the d train,"The D Train offers Jack Black a too-rare opportunity to showcase his range, but its story and characters are too sloppily conceived to hold together as a film.",53.0
where hands touch,"Where Hands Touch is noteworthy for its exploration of a little-discussed corner of World War II, even if its story leaves something to be desired in the telling.",43.0
married to the mob,"Buoyed by Jonathan Demme's intuitive direction and Michelle Pfeiffer's irresistible charisma, Married to the Mob is a saucy mix of broad comedy and gangster drama.",89.0
mission impossible,"Full of special effects, Brian DePalma's update of Mission: Impossible has a lot of sweeping spectacle, but the plot is sometimes convoluted.",64.0
the good dinosaur,"The Good Dinosaur delivers thrillingly beautiful animation in service of a worthy story that, even if it doesn't quite live up to the lofty standards set by Pixar, still adds up to charming, family-friendly entertainment.",76.0
looking glass,"Looking Glass gives Nicolas Cage a chance to turn in an atypically understated performance, but this is still a suspense thriller with a fatal dearth of suspense or thrills.",21.0
maggie,"Maggie lurches a bit clumsily at times, but is partially redeemed by strong performances and an unexpectedly thoughtful tone.",60.0
super troopers 2,"Meow that the wait for Super Troopers 2 is finally over, all but the most devoted fans mustache themselves why they waited so long for such cruel and tragic shenanigans.",36.0
resident evil afterlife,"As dim-witted and lifeless as its undead antagonists, Resident Evil: Afterlife is a wholly unnecessary addition to the franchise.",22.0
bad milo,"Bad Milo! sets some deliriously low expectations with its gross premise -- and then manages to match most of them in sick, entertaining style.",62.0
england is mine,England Is Mine's smartly assembled cast and strong sense of place are often enough to compensate for this unauthorized biopic's distance from its subject.,52.0
moneyball,"Director Bennett Miller, along with Brad Pitt and Jonah Hill, take a niche subject and turn it into a sharp, funny, and touching portrait worthy of baseball lore.",94.0
what lies beneath,Robert Zemeckis is unable to salvage an uncompelling and unoriginal film.,46.0
zack and miri make a porno,"Zack and Miri Make a Porno is a modest success for Kevin Smith, due in large part to the charm of Seth Rogen and Elizabeth Banks.",66.0
public enemies,"Michael Mann's latest is a competent and technically impressive gangster flick with charismatic lead performances, but some may find the film lacks truly compelling drama.",68.0
r100,"R100 definitely isn't for everyone, but audiences open to writer-director Hitoshi Matsumoto's fetish-driven thrills will find it a suitably perverse pleasure to watch.",71.0
and then we danced,"Led by an outstanding performance from Levan Gelbakhiani, And Then We Danced defeats prejudice with overwhelming compassion.",93.0
snow day,Weak assembly of characters and story lines made this movie forgettable and silly.,29.0
wonder,"Wonder doesn't shy away from its bestselling source material's sentiment, but this well-acted and overall winsome drama earns its tugs at the heartstrings.",85.0
its a disaster,"A clever black comedy, It's a Disaster is sometimes uneven but the sharp writing and stellar ensemble cast keeps the film on track.",79.0
an ideal husband,"Brevity is the soul of wit, eh? This adaptation gets to the nitty gritty of Wilde's stage piece and plays on eternal human foibles.",85.0
the ground truth,The stories the soldiers have to tell are eye-opening and wrenching to hear; collectively it's a searing peek into the toll of war both during and after.,88.0
tears of the sun,"Tries to be high-minded, but in the end, it's just a stylish action movie.",33.0
the lords of salem,"The Lords of Salem has lots of atmospheric portent, but it's unfortunately short on scares.",46.0
day for night,"A sweet counterpoint to Godard's Contempt, Truffaut's Day for Night is a congenial tribute to the self-afflicted madness that is making a movie.",100.0
excalibur,"John Boorman's operatic, opulent take on the legend of King Arthur is visually remarkable, and features strong performances from an all-star lineup of British thespians.",80.0
hitch,"Despite Hitch's predictability, Will Smith and Kevin James win praise for their solid, warmhearted performances.",69.0
cimarron,"Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.",50.0
the whistleblower,Rachel Weisz puts on a compelling smoldering act though the film suffers from a literal-minded approach to the material.,75.0
femme fatale,"The thriller Femme Fatale is overheated, nonsensical, and silly.",49.0
batman begins,"Brooding and dark, but also exciting and smart, Batman Begins is a film that understands the essence of one of the definitive superheroes.",84.0
the love guru,"The Love Guru features far too many gross-out gags, and too few earned laughs, ranking as one of Mike Myers' poorest outings.",14.0
the party,"Old-fashioned charm meets sharp wit and modern social satire in The Party, a biting comedy carried by a shining performance from Patricia Clarkson.",82.0
joe strummer the future is unwritten,"Displaying Joe Strummer warts and all, The Future is Unwritten succeeds as both an engrossing documentary and a comprehensive examination of one of music's most legendary figures.",89.0
venus in fur,"Provocative, funny, and brilliantly acted, Venus in Fur finds Roman Polanski in top late-period form.",88.0
albino alligator,"Matt Dillon's intense performance is the best aspect of Albino Alligator, a mannered thriller that pantomimes the tropes of film noir to phony effect.",50.0
filth,"Warped, grimy, and enthusiastically unpleasant, Filth lives up to its title splendidly.",66.0
attack the block,"Effortlessly mixing scares, laughs, and social commentary, Attack the Block is a thrilling, brisky-paced sci-fi yarn with a distinctly British flavor.",90.0
secret ballot,A moderately funny comedy that will reward patient viewers.,82.0
the last detail,"Very profane, very funny, very '70s: Director Hal Ashby lets Jack Nicholson and the cast run loose, creating a unique dramedy that's far out to sea.",89.0
landline,Landline's talented cast -- and a fast-paced approach from director/co-writer Gillian Robespierre -- help this charming multi-generational dramedy overcome a familiar storyline.,74.0
julia,"Tilda Swinton delivers a powerful performance in Julia, a tense thriller and a dark character study.",72.0
wildling,Wildling's feminist themes - and the ferocious Bel Powley performance that brings them to life - are often enough to make up for its narrative deficiencies.,70.0
the inlaws,"Bigger and slicker than the original, but not necessarily better.",33.0
nas time is illmatic,"Comprehensive yet brisk, Nas: Time Is Illmatic offers an absorbing look at a hip-hop classic and the life of the artist who made it.",98.0
doubt,"Doubt succeeds on the strength of its top-notch cast, who successfully guide the film through the occasional narrative lull.",80.0
the boss baby,"The Boss Baby's talented cast, glimmers of wit, and flashes of visual inventiveness can't make up for a thin premise and a disappointing willingness to settle for doody jokes.",53.0
riding the bullet,Stephen King adaptation veteran director Mick Garris has lofty storytelling goals which ultimately flail and undercut the story's terror.,26.0
charlie st cloud,"Zac Efron gives it his all, but Charlie St. Cloud is too shallow and cloying to offer much more than eye candy for his fans.",28.0
a futile and stupid gesture,"A Futile and Stupid Gesture entertainingly recreates the birth of an influential comedic movement, even if it struggles to cover its creative ground.",67.0
here on earth,"Critics say Here on Earth's weakness comes from its script. The story may appeal to young teenage girls, but it suffers from being overly sentimental and formulaic. The cinematography, however, is lovely in how it captures its Minnesota setting.",17.0
they live,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",86.0
beirut,"Beirut tells a complex, tightly plotted tale of international intrigue, further elevated by strong central performances from Jon Hamm and Rosamund Pike.",82.0
marianne leonard words of love,"It suffers from a somewhat one-sided approach, but Marianne & Leonard: Words of Love is an absorbing glimpse of a fascinating chapter of its subjects' lives.",79.0
wrestling ernest hemingway,"Predictable but moving, Wrestling Ernest Hemingway is an understated and melancholic drama that gets plenty of mileage out of an outstanding cast that includes Robert Duvall, Richard Harris, Shirley MacLaine, and Sandra Bullock.",57.0
höstsonaten autumn sonata,"A melancholy meditation on the unresolvable tension between parent and child, Autumn Sonata is a fitting swan song for the great Ingrid Bergman.",84.0
boarding gate,"Boarding Gate has little substance beneath its faux-thriller surface, and marks a step down from director Olivier Assayas' usual work.",32.0
laws of attraction,A bland and forgettable copy of Adam's Rib.,18.0
heartbeats,"An art film to the max, Heartbeats intriguing and appealing premise is sometimes buried by director Xavier Dolan's filmmaking flourishes.",73.0
the void,The Void offers a nostalgic rush for fans of low-budget 1980s horror -- and legitimate thrills for hardcore genre enthusiasts of all ages.,78.0
harry potter and the chamber of secrets,"Though perhaps more enchanting for younger audiences, Chamber of Secrets is nevertheless both darker and livelier than its predecessor, expanding and improving upon the first film's universe.",82.0
the patriot,"The Patriot can be entertaining to watch, but it relies too much on formula and melodrama.",61.0
frantic,"A tense, on-point thriller in the vein of Polanski's earlier work.",76.0
après vous after you,"This farcical French comedy of errors is well-acted, but the absurdities feel too forced to make such a light confection work.",58.0
your sisters sister,"Superbly acted and satisfyingly engaging, Your Sister's Sister subverts rom-com conventions with sensitive direction, an unconventional screenplay, and a big heart.",83.0
ismaels ghosts les fantômes dismaël,Ismael's Ghosts unites an excellent cast -- and their valiant efforts are often enough to counter its somewhat confused and disjointed story.,50.0
dr jekyll and mr hyde,"A classic. The definitive version of the Robert Louis Stevenson novella from 1931, with innovative special effects, atmospheric cinematography and deranged overacting.",90.0
death in love,"Death in Love has the depth of its convictions, but not even the game efforts of a talented cast are enough to overcome this drama's stilted story and unlikable characters.",45.0
on_line,"On_Line might have a more balanced perspective than most internet-fueled dramas, but that doesn't make the story or its characters interesting enough to watch.",38.0
dear john,"Built from many of the same ingredients as other Nicholas Sparks tearjerkers, Dear John suffers from its cliched framework, as well as Lasse Hallstrom's curiously detached directing.",29.0
dog days,"Dog Days is frivolous but frothy, sporting a forgettable cast of human characters but a lovable troupe of pooches that ought to delight viewers looking for a gentle affirmation of humanity's bond with their furry friends.",63.0
airplane,"Though unabashedly juvenile and silly, Airplane! is nevertheless an uproarious spoof comedy full of quotable lines and slapstick gags that endure to this day.",97.0
amores perros,"The brutality of Amores Perros may be difficult to watch at times, but this intense, gritty film packs a hard wallop.",92.0
42nd street,"Bubsy Berkeley does it again in 42nd Street, a brilliant depression-era romp with stellar musical numbers and impeccable choreography.",96.0
texas chainsaw massacre the next generation,"The Next Generation has the fortune of starring early-career Matthew McConaughey and Renée Zellweger, but it services neither headliner well in a convoluted and cheap-looking slasher that doesn't live up to the Texas Chainsaw Massacre legacy.",14.0
the hangover,"With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.",78.0
the wedding ringer,"Kevin Hart and Josh Gad might be two great comedians that go great together, but there's little evidence of it on display in The Wedding Ringer.",29.0
the cave of the yellow dog die hohle des gelben hundes,"A sparse, hauntingly beautiful journey across continents and cultures.",90.0
crimson tide,"Boasting taut, high energy thrills and some cracking dialogue courtesy of an uncredited Quentin Tarantino, Crimson Tide finds director Tony Scott near the top of his action game.",88.0
pather panchali,"A film that requires and rewards patience in equal measure, Pather Panchali finds director Satyajit Ray delivering a classic with his debut.",98.0
dont say a word,"Don't Say A Word is slick and competently made, but the movie is routine and stretches believability with many eye rolling moments.",24.0
the bag man,"Busy with attitude and light on intrigue, The Bag Man is a mystery box with nothing surprising inside.",11.0
the departed,"Featuring outstanding work from an excellent cast, The Departed is a thoroughly engrossing gangster drama with the gritty authenticity and soupy morality we come to expect from Martin Scorsese.",91.0
as i lay dying,"As I Lay Dying finds director, star, and co-writer James Franco attempting to adapt one of William Faulkner's weightier works, with disappointingly muddled results.",38.0
rust creek,Rust Creek subverts expectations with a surprisingly layered survival drama anchored in a rich setting and a gripping lead performance from Hermione Corfield.,84.0
godzilla,"With just enough human drama to anchor the sweeping spectacle of giant monsters smashing everything in sight, Gareth Edwards' Godzilla satisfyingly restores the franchise's fire-breathing glory.",76.0
love ranch,"Despite its saucy setup and the always marvelous Helen Mirren, Love Ranch is disappointingly flaccid.",13.0
super,"Super's intriguing premise and talented cast are drowned in a blood-red sea of graphic violence, jarring tonal shifts, and thinly written characters.",49.0
what you gonna do when the worlds on fire,"What You Gonna Do When the World's On Fire? traces the aftershocks of race-motivated violence in thoughtful, impressionistic fashion.",87.0
lucy,"Enthusiastic and silly, Lucy powers through the movie's logic gaps with cheesy thrills plus Scarlett Johansson's charm -- and mostly succeeds at it.",67.0
the mighty macs,"Its heart is obviously in the right place, but The Mighty Macs is too blandly formulaic to transcend the genre's many clichés.",47.0
raiders of the lost ark,"Featuring bravura set pieces, sly humor, and white-knuckle action, Raiders of the Lost Ark is one of the most consummately entertaining adventure pictures of all time.",95.0
tulip fever,"Tulip Fever is a lush, handsomely-mounted period piece undone by uninspired dialogue and excessive plotting.",10.0
hold the dark,Hold the Dark's unsettling aesthetic offers more of what filmgoers expect from director Jeremy Saulnier - and is often enough to prop up shaky narrative underpinnings.,71.0
shaft,"With a charismatic lead, this new Shaft knows how to push the right buttons.",67.0
machete kills,"While possessed with the same schlocky lunacy as its far superior predecessor, Machete Kills loses the first installment's spark in a less deftly assembled sequel.",29.0
doomsday,"Doomsday is a pale imitation of previous futuristic thrillers, minus the cohesive narrative and charismatic leads.",51.0
allure,"Allure has visual style and an intriguing Evan Rachel Wood on its side, but a clumsily told story leaves this sexually charged thriller less than the sum of its parts.",47.0
shallow hal,"While surprisingly sweeter and warm-hearted than previous Farrelly outings, Shallow Hal is also less funny and more bland.",50.0
my old lady,"Although My Old Lady doesn't quite live up to its stars' talents, Kevin Kline and Maggie Smith carry the film capably whenever they're together onscreen.",62.0
last days in the desert,Last Days in the Desert offers enough stately grandeur and spiritual exploration to offset an occasionally ambiguous narrative.,76.0
6 underground,"6 Underground is loud, frenetic, and finally preposterous -- which is either bad news or a hearty recommendation, depending how one feels about the movies of Michael Bay.",36.0
death defying acts,"Pretty but dull, with unconvincing turns from Zeta-Jones and Pearce. If you want a period magician movie, seek out The Prestige or The Illusionist instead.",42.0
out of blue,"Out of Blue smolders without ever really sparking to life -- which, considering the source material and talent assembled, can only be considered a disappointment.",38.0
zombie zombi 2,Zombi 2 is an absurdly graphic zombie movie legendary for some gory scenes and nothing in between.,42.0
my bloody valentine 3d,"This gory, senses-assaulting slasher film is an unpretentious, effective mix of old-school horror stylings and modern 3D technology.",63.0
octopussy,"Despite a couple of electrifying action sequences, Octopussy is a formulaic, anachronistic Bond outing.",43.0
backcountry,"Tense, well-acted, and at once atmospheric as well as brutally impactful, Backcountry marks a memorably assured debut from writer-director Adam MacDonald.",92.0
the grand,"The Grand has moments of comic ingenuity, but the jokes in this poker satire often miss.",40.0
into the inferno,Into the Inferno finds director Werner Herzog observing some of the most beautiful -- and terrifying -- wonders of the natural world with his signature blend of curiosity and insight.,92.0
alone in the dark,"Inept on almost every level, Alone in the Dark may not work as a thriller, but it's good for some head-slapping, incredulous laughter.",1.0
37 seconds,"37 Seconds is a rare and refreshing film that depicts disability with honesty, warmth, and empathy.",88.0
luce,Luce brings a stellar ensemble to bear on a satisfyingly complex story that addresses its timely themes in thought-provoking fashion.,90.0
walking tall,"The Rock makes a competent hero, but the movie is content to let a 2x4 do all the talking.",26.0
tangled,"While far from Disney's greatest film, Tangled is a visually stunning, thoroughly entertaining addition to the studio's classic animated canon.",89.0
polyester,"As proudly tacky as its titular fabric, Polyester finds writer-director John Waters moving ever so slightly into the mainstream without losing any of his subversive charm.",93.0
the legacy of a whitetail deer hunter,The Legacy of a Whitetail Deer Hunter wastes a promising premise and talented cast on a frustratingly uneven comedy that lacks enough laughs to forgive its narrative flaws.,30.0
z for zachariah,Z for Zachariah wrings compelling drama out of its simplistic premise -- albeit at a pace that may test the patience of less contemplative viewers.,79.0
the favourite,"The Favourite sees Yorgos Lanthimos balancing a period setting against rich, timely subtext - and getting roundly stellar performances from his well-chosen stars.",93.0
saw 3d,"Sloppily filmed, poorly acted, and illogically plotted, Saw 3D leaves viewers trapped in the most lackluster installment of the series.",10.0
dont come knocking,"The cinematography conjures beautifully evocative landscapes, but aside from that, the film is meandering and pointless.",43.0
john carter,"While John Carter looks terrific and delivers its share of pulpy thrills, it also suffers from uneven pacing and occasionally incomprehensible plotting and characterization.",52.0
heaven knows what,"Grueling and rewarding in equal measure, Heaven Knows What hits hard -- and serves as a powerful calling card for its captivating star, Arielle Holmes.",87.0
the prince of tides,"Although the central romance arguably suffocates the heart of the drama, a moving performance by Nick Nolte and Barbra Streisand's deft direction give The Prince of Tides a soulful edge.",69.0
grave of the fireflies hotaru no haka,"An achingly sad anti-war film, Grave of the Fireflies is one of Studio Ghibli's most profoundly beautiful, haunting works.",100.0
socrates,"Brought brilliantly to life by Christian Malheiros' soulful performance, Socrates uses one boy's story to check a nation's pulse.",89.0
james white,"Led by powerfully complementary performances from Christopher Abbott and Cynthia Nixon, James White offers an affecting calling card for debuting writer-director Josh Mond.",92.0
house hausu,House is a gleefully demented collage of grand guginol guffaws and bizarre sequences.,90.0
bonneville,"The amazing cast of Bonneville is paired up with a basic, predictable script and lackluster direction.",41.0
chalk,"Chalk approaches its potentially rich subject matter with a light touch, but still emerges with a humorous, heartfelt tribute to a noble profession.",80.0
paycheck,"Though Dick's short story has an intriguing premise, Woo reduces it to a lot of meaningless chases, shoot-outs, and explosions.",27.0
high plains drifter,"Clint Eastwood's sophomore outing as director sees him back in the saddle as a mysterious stranger, as the result is one of his most memorable Westerns.",92.0
bowfinger,"A witty commentary on modern film-making, with enough jokes to keep it entertaining throughout.",81.0
sympathy for lady vengeance,"Stylistically flashy and gruesomely violent, Sympathy for Lady Vengeance fits in nicely with the other two films of Park's revenge trilogy.",76.0
scary stories to tell in the dark,"Like the bestselling series of books that inspired it, Scary Stories to Tell in the Dark opens a creepy gateway into horror for younger genre enthusiasts.",78.0
bulletproof monk,Venerable action star Chow Yun-Fat is the only saving grace in this silly action flick that more often than not resembles a commercial in style.,23.0
mighty joe young,Beguiling effects transcend a predictable plot.,54.0
the samaritan,The Samaritan is a ludicrous neo-noir starring a seemingly bored Samuel L. Jackson.,26.0
drive angry,"It may deliver the over-the-top action pieces, but Drive Angry prefers to work safely within grindhouse formula than do something truly unique.",47.0
bicentennial man,Bicentennial Man is ruined by a bad script and ends up being dull and mawkish.,36.0
the shawshank redemption,"The Shawshank Redemption is an uplifting, deeply satisfying prison drama with sensitive direction and fine performances.",91.0
bel ami,Bel Ami contains some soapy pleasures but it overall rushes through the narrative and suffers from a vague central performance by Robert Pattinson.,27.0
lakeboat,"Though not much happens plot-wise, Lakeboat still has a lot to offer for fans of Mamet.",83.0
last men in aleppo,"Heartbreaking and hopeful, Last Men in Aleppo paints an urgent portrait of war-torn Syria, putting faces on an ongoing and complicated conflict.",97.0
gaga five foot two,"Gaga: Five Foot Two offers an absorbing glimpse of its superstar subject's backstage life, albeit one weakened by inconsistent focus and a dearth of performance footage.",72.0
mother of george,"Director Andrew Dosunmu's style takes some getting used to, but Mother of George compensates with powerful acting, a thoughtful script, and gorgeous visuals.",93.0
oklahoma,"Aye-yip-aye-yo-ee-ay! The critics are sayin' you're doin' fine, Oklahoma! Oklahoma, O.K.!",88.0
derrida,Derrida's intelligence and engaging personality make him an intriguing documentary subject.,82.0
capitalism a love story,"Love him or hate him, Capitalism captures Michael Moore in his muckraking element -- with all the Moore-centric showmanship that entails.",74.0
lara croft tomb raider,"Angelina Jolie is perfect for the role of Lara Croft, but even she can't save the movie from a senseless plot and action sequences with no emotional impact.",20.0
cockneys vs zombies,"If you're interested in watching a battle between cockneys and zombies, this is the movie for you.",76.0
problem child,"Mean-spirited and hopelessly short on comic invention, Problem Child is a particularly unpleasant comedy, one that's loaded with manic scenery chewing and juvenile pranks.",0.0
lara croft tomb raider the cradle of life,"Though the sequel is an improvement over the first movie, it's still lacking in thrills.",24.0
freaky friday,Jamie Lee Curtis and Lindsay Lohan charm in Mark Waters' nicely pitched -- and Disney's second -- remake of the 1976 hit.,88.0
chaos theory,"Ryan Reynolds and Emily Mortimer do what they can, but ultimately Chaos Theory is an overly conventional dramedy.",31.0
pit and the pendulum the pit and the pendulum,"A chilling visual treat, Pit and the Pendulum unites genre masters Roger Corman and Vincent Price with delightfully dark results.",87.0
save the last dance,This teen romance flick feels like a predictable rehashing of other movies.,53.0
last days in vietnam,"As gripping as it is inspiring, Last Days in Vietnam offers a surprisingly fresh -- and heart-wrenching -- perspective on the end of the Vietnam War.",95.0
out of sight,"Steven Soderbergh's intelligently crafted adaptation of the Elmore Leonard novel is witty, sexy, suprisingly entertaining, and a star-making turn for George Clooney.",93.0
wild,"Powerfully moving and emotionally resonant, Wild finds director Jean-Marc Vallée and star Reese Witherspoon working at the peak of their respective powers.",88.0
paid in full,"Though well-acted and non-exploitative, Paid in Full treads a very well-worn story.",53.0
the little stranger,The Little Stranger's reliance on atmosphere may satisfy audiences in the mood for sophisticated horror fare -- while frustrating those seeking more visceral thrills.,65.0
elizabethtown,This story of a floundering shoe designer who returns home for a family tragedy gets lost in undeveloped plot lines and lackluster performances.,28.0
a woman is a woman une femme est une femme,"One of the last times Godard could make film paradoxes with glee, A Woman Is a Woman is a mocking, genuine tribute to musicals.",82.0
shadow dancer,"A tense, thought-provoking thriller, Shadow Dancer is bolstered by sensitive direction from James Marsh and a terrific performance from Andrea Riseborough.",84.0
big game,"Big Game's enthusiastic throwback vibe will appeal to fans of low-budget '80s action movies, but co-writer/director Jalmari Helander adds a level of smarts and skill that make it more than just an homage.",78.0
first man,First Man uses a personal focus to fuel a look back at a pivotal moment in human history - and takes audiences on a soaring dramatic journey along the way.,86.0
i hate valentines day,This boilerplate comedy lacks ingenuity or humor and features mediocre dialogue that sounds less like conversation and more like stand-up shtick.,19.0
ongbak ong bak muay thai warrior,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.",85.0
whos your caddy,"A juvenile, uninspired retread of Caddyshack, Who's Your Caddy? is unoriginal, unfunny, and just plain forgettable.",6.0
freeway,"A modern update on the tale of Little Red Riding Hood, Freeway is an audacious black comedy with a star-making performance from the young Reese Witherspoon.",76.0
field of dreams,"Field of Dreams is sentimental, but in the best way; it's a mix of fairy tale, baseball, and family togetherness.",87.0
madame,Madame's retrograde trappings are further weighted down by unlikable characters and an overall inability to do justice to its themes.,44.0
the devils backbone el espinazo del diablo,"Creepily atmospheric and haunting, The Devil's Backbone is both a potent ghost story and an intelligent political allegory.",92.0
101 dalmatians,"Neat performance from Glenn Close aside, 101 Dalmatians is a bland, pointless remake.",41.0
black sea,"Black Sea may not be particularly deep, but thanks to Kevin Macdonald's judicious direction and a magnetic performance from Jude Law, it remains an efficiently well-crafted thriller.",80.0
pompeii,This big-budget sword-and-sandal adventure lacks the energy and storytelling heft to amount to more than a guilty pleasure.,28.0
william kunstler disturbing the universe,"It doesn't even feign impartiality, but this family-made documentary about the famously rabble-rousing attorney shines a light on the life and times of a divisive public figure.",79.0
crazy in alabama,"Melanie Griffith gets kudos for her performance, but the movie just doesn't seem to come together.",30.0
sweet bean an,"Sweet Bean's deliberate pace demands patience, but the satisfying simplicity of its story -- and Kirin Kiki's absorbing performance -- yield an array of riches well worth the wait.",84.0
swimming with men,"Swimming with Men touches on thought-provoking themes surrounding modern masculinity, but ultimately never manages to do much more than tread water.",56.0
wimbledon,"A predictable, bland rom-com, but Bettany proves to be an appealing lead.",61.0
the ex,The Ex suffers from inept direction and characters that are either unsympathetic or plain unpleasant to watch.,18.0
possession,"It's perhaps a bit tame and uninspiring, considering its subject matter, but Possession manages enough romance and period intrigue to satisfy most fans of its source material.",64.0
big ass spider,Big Ass Spider! delivers on the promise of its outlandish title with a tongue-in-cheek creature feature that embraces its B-movie silliness with utterly entertaining results.,78.0
the revenant,"As starkly beautiful as it is harshly uncompromising, The Revenant uses Leonardo DiCaprio's committed performance as fuel for an absorbing drama that offers punishing challenges -- and rich rewards.",78.0
copying beethoven klang der stille,"A pretentious historical drama that's ultimately a drag, despite Ed Harris' powerful performance.",28.0
